# bench/aead.sh on Apple M1 Pro (arm64), Darwin 25.6.0, 2026-09-24, tree 6dd570f-dirty
# Apple clang version 21.0.0 (clang-2100.3.34.2); -std=c11 -O2 -Wall -Wextra -Wpedantic -Werror -Wvla -D_DEFAULT_SOURCE -DCH_RAND_EXTERN -DCH_TRANSPORT_QUIC_NONBLOCKING -I. -Ibench; AES=hw adds no flag -DCH_AES_HW
# load average (1, 5, 15 min) before: 3.12 3.05 3.10; after: 3.16 3.06 3.10
# ns_per_byte: median of 101 samples of 2 to 4 ms each; mb_per_s: 10^6 bytes per second at that median; iqr_pct: 25th to 75th percentile spread, percent of the median
primitive,build,bytes,ns_per_byte,mb_per_s,iqr_pct
chacha20,AES=soft,64,1.5806,632.7,0.5
chacha20,AES=soft,1200,1.4939,669.4,0.3
chacha20,AES=soft,1350,1.5341,651.8,0.2
chacha20,AES=soft,16384,1.4643,682.9,0.3
chacha20_poly1305_seal,AES=soft,64,7.0612,141.6,0.2
chacha20_poly1305_seal,AES=soft,1200,3.5763,279.6,0.2
chacha20_poly1305_seal,AES=soft,1350,3.6184,276.4,0.2
chacha20_poly1305_seal,AES=soft,16384,3.3697,296.8,0.3
chacha20_poly1305_open,AES=soft,64,6.8697,145.6,0.2
chacha20_poly1305_open,AES=soft,1200,3.5640,280.6,0.2
chacha20_poly1305_open,AES=soft,1350,3.6047,277.4,0.2
chacha20_poly1305_open,AES=soft,16384,3.3679,296.9,0.2
poly1305,AES=soft,64,2.4539,407.5,1.4
poly1305,AES=soft,1200,1.9227,520.1,0.4
poly1305,AES=soft,1350,1.9324,517.5,0.2
poly1305,AES=soft,16384,1.8902,529.0,0.2
aes128_gcm_seal,AES=soft,64,68.5755,14.6,1.0
aes128_gcm_seal,AES=soft,1200,45.9185,21.8,0.3
aes128_gcm_seal,AES=soft,1350,46.0995,21.7,0.2
aes128_gcm_seal,AES=soft,16384,44.7547,22.3,0.2
aes128_gcm_open,AES=soft,64,67.4973,14.8,0.2
aes128_gcm_open,AES=soft,1200,45.8881,21.8,0.3
aes128_gcm_open,AES=soft,1350,46.0860,21.7,0.3
aes128_gcm_open,AES=soft,16384,44.7572,22.3,0.4
aes128_ctr,AES=soft,64,9.2384,108.2,0.3
aes128_ctr,AES=soft,1200,9.1163,109.7,0.2
aes128_ctr,AES=soft,1350,9.1835,108.9,0.2
aes128_ctr,AES=soft,16384,9.1030,109.9,0.2
ghash,AES=soft,64,55.8942,17.9,0.2
ghash,AES=soft,1200,36.6363,27.3,0.2
ghash,AES=soft,1350,36.7839,27.2,0.2
ghash,AES=soft,16384,35.6248,28.1,0.3
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,64,4.9610,201.6,0.6
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,1200,2.2979,435.2,0.2
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,1350,2.3545,424.7,0.3
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,16384,2.1389,467.5,0.1
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,64,4.8585,205.8,0.3
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,1200,2.2951,435.7,0.2
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,1350,2.3433,426.8,0.3
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,16384,2.1407,467.1,1.0
poly1305,AES=soft CH_NATIVE_WIDEMUL,64,1.1618,860.8,0.2
poly1305,AES=soft CH_NATIVE_WIDEMUL,1200,0.6868,1456.0,0.4
poly1305,AES=soft CH_NATIVE_WIDEMUL,1350,0.6909,1447.3,0.2
poly1305,AES=soft CH_NATIVE_WIDEMUL,16384,0.6654,1502.9,0.2
aes128_gcm_seal,AES=hw,64,3.0542,327.4,9.8
aes128_gcm_seal,AES=hw,1200,1.3875,720.7,15.8
aes128_gcm_seal,AES=hw,1350,1.2092,827.0,11.9
aes128_gcm_seal,AES=hw,16384,1.1069,903.4,2.0
aes128_gcm_open,AES=hw,64,3.0479,328.1,0.2
aes128_gcm_open,AES=hw,1200,1.1941,837.4,0.2
aes128_gcm_open,AES=hw,1350,1.1954,836.6,0.4
aes128_gcm_open,AES=hw,16384,1.0965,912.0,0.2
aes128_ctr,AES=hw,64,0.7384,1354.3,0.4
aes128_ctr,AES=hw,1200,0.5732,1744.6,0.2
aes128_ctr,AES=hw,1350,0.5799,1724.3,0.3
aes128_ctr,AES=hw,16384,0.5634,1774.9,0.5
ghash,AES=hw,64,1.9257,519.3,3.4
ghash,AES=hw,1200,0.6099,1639.7,3.1
ghash,AES=hw,1350,0.6139,1629.0,0.5
ghash,AES=hw,16384,0.5482,1824.1,2.9
