# bench/aead.sh on AMD EPYC 7763 64-Core Processor (x86_64), Linux 6.17.0-1022-azure, 2026-09-24, tree 4e02293-dirty
# gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0; -std=c11 -O2 -Wall -Wextra -Wpedantic -Werror -Wvla -D_DEFAULT_SOURCE -DCH_RAND_EXTERN -DCH_TRANSPORT_QUIC_NONBLOCKING -I. -Ibench; AES=hw adds -maes -mpclmul -DCH_AES_HW
# load average (1, 5, 15 min) before: 0.57 0.14 0.05; after: 0.77 0.22 0.08
# ns_per_byte: median of 101 samples of 2 to 4 ms each; mb_per_s: 10^6 bytes per second at that median; iqr_pct: 25th to 75th percentile spread, percent of the median
primitive,build,bytes,ns_per_byte,mb_per_s,iqr_pct
chacha20,AES=soft,64,2.4502,408.1,1.3
chacha20,AES=soft,1200,2.3328,428.7,0.4
chacha20,AES=soft,1350,2.3868,419.0,0.4
chacha20,AES=soft,16384,2.2972,435.3,0.4
chacha20_poly1305_seal,AES=soft,64,11.6400,85.9,0.6
chacha20_poly1305_seal,AES=soft,1200,6.0408,165.5,0.4
chacha20_poly1305_seal,AES=soft,1350,6.0924,164.1,0.6
chacha20_poly1305_seal,AES=soft,16384,5.7274,174.6,0.3
chacha20_poly1305_open,AES=soft,64,11.1182,89.9,0.6
chacha20_poly1305_open,AES=soft,1200,6.0018,166.6,0.4
chacha20_poly1305_open,AES=soft,1350,6.0525,165.2,0.3
chacha20_poly1305_open,AES=soft,16384,5.7091,175.2,0.3
poly1305,AES=soft,64,4.6140,216.7,0.5
poly1305,AES=soft,1200,3.4655,288.6,0.3
poly1305,AES=soft,1350,3.5064,285.2,0.4
poly1305,AES=soft,16384,3.4141,292.9,0.4
aes128_gcm_seal,AES=soft,64,198.2300,5.0,0.4
aes128_gcm_seal,AES=soft,1200,134.9357,7.4,0.3
aes128_gcm_seal,AES=soft,1350,135.4667,7.4,0.2
aes128_gcm_seal,AES=soft,16384,131.5602,7.6,0.3
aes128_gcm_open,AES=soft,64,197.5726,5.1,0.4
aes128_gcm_open,AES=soft,1200,134.9106,7.4,0.4
aes128_gcm_open,AES=soft,1350,135.4273,7.4,0.3
aes128_gcm_open,AES=soft,16384,131.4618,7.6,0.3
aes128_ctr,AES=soft,64,28.6380,34.9,0.8
aes128_ctr,AES=soft,1200,28.4475,35.2,0.9
aes128_ctr,AES=soft,1350,28.6136,34.9,0.5
aes128_ctr,AES=soft,16384,28.4978,35.1,1.0
ghash,AES=soft,64,162.2375,6.2,0.4
ghash,AES=soft,1200,106.8984,9.4,2.8
ghash,AES=soft,1350,106.5465,9.4,0.5
ghash,AES=soft,16384,103.2793,9.7,0.4
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,64,7.1681,139.5,0.7
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,1200,3.2525,307.5,0.4
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,1350,3.2975,303.3,0.4
chacha20_poly1305_seal,AES=soft CH_NATIVE_WIDEMUL,16384,3.0213,331.0,0.3
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,64,6.8246,146.5,0.4
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,1200,3.2466,308.0,0.2
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,1350,3.2993,303.1,0.3
chacha20_poly1305_open,AES=soft CH_NATIVE_WIDEMUL,16384,3.0279,330.3,0.2
poly1305,AES=soft CH_NATIVE_WIDEMUL,64,2.2497,444.5,0.5
poly1305,AES=soft CH_NATIVE_WIDEMUL,1200,0.8008,1248.7,0.1
poly1305,AES=soft CH_NATIVE_WIDEMUL,1350,0.8146,1227.6,0.3
poly1305,AES=soft CH_NATIVE_WIDEMUL,16384,0.7250,1379.4,0.2
aes128_gcm_seal,AES=hw,64,6.3811,156.7,0.5
aes128_gcm_seal,AES=hw,1200,3.0194,331.2,0.8
aes128_gcm_seal,AES=hw,1350,3.0085,332.4,1.1
aes128_gcm_seal,AES=hw,16384,2.8447,351.5,0.6
aes128_gcm_open,AES=hw,64,5.8425,171.2,0.5
aes128_gcm_open,AES=hw,1200,2.9687,336.9,0.9
aes128_gcm_open,AES=hw,1350,2.9625,337.6,0.8
aes128_gcm_open,AES=hw,16384,2.8145,355.3,0.6
aes128_ctr,AES=hw,64,1.7657,566.3,0.3
aes128_ctr,AES=hw,1200,1.6608,602.1,0.3
aes128_ctr,AES=hw,1350,1.6694,599.0,0.4
aes128_ctr,AES=hw,16384,1.6582,603.1,0.3
ghash,AES=hw,64,3.9691,251.9,1.0
ghash,AES=hw,1200,1.3197,757.7,0.3
ghash,AES=hw,1350,1.3100,763.4,0.3
ghash,AES=hw,16384,1.1728,852.7,0.4
