# Homebrew clang version 23.1.0 (LLVM_MAJOR=23, tools/toolchain.env); device -target mips-none-elf -mcpu=mips32r2 -Os; host arm64-apple-darwin25.6.0 -Os
module,mips_text_B,mips_rodata_B,mips_flash_B,mips_max_frame_B,mips_max_frame_fn,host_flash_B,host_max_frame_B
ct,100,0,100,0,ct_wipe,76,0
sha256,1388,256,1644,288,compress,1660,336
hkdf,1200,197,1397,280,hmac_sha256,1377,320
chacha20,1108,0,1108,160,chacha20_xor,1004,208
poly1305,4544,41,4585,344,blocks,2445,336
aead,680,16,696,216,mac,760,240
x25519,3084,192,3276,1280,ladder,2596,1328
rsa,844,8,852,1000,rsa_pss_verify,712,1040
rsa_mont,1436,0,1436,2360,rsa_vp1,1308,2384
buf,1252,0,1252,32,wb_mark,1044,48
record,1144,19,1163,80,rec_open,1147,96
keysched,748,177,925,88,ks_handshake,921,112
io,368,0,368,48,io_read_record,308,80
handshake_message,880,0,880,64,hs_build_client_hello,816,112
handshake_parser,1608,32,1640,88,hsp_parse_encrypted_exts,1376,128
handshake_record,928,0,928,144,hsr_transcript_hash,732,144
session,360,0,360,64,tlsi_send_alert,328,48
handshake_auth,644,34,678,344,hsa_server_auth,566,400
handshake,2416,172,2588,648,ch_handshake,2388,688
handshake_post,996,5,1001,160,hspost_read,817,208
tls,1640,31,1671,88,ch_read,1259,112
# softmul: no function compiled for mips32r2 or the host, so -fstack-usage wrote no .su and its frame is 0
softmul,0,0,0,0,,0,0
total,27368,1180,28548,2360,rsa_vp1,23640,2384
total (CH_NATIVE_WIDEMUL),25056,1180,26236,2360,rsa_vp1,22168,2384
p256 (PIN=ecdsa),5624,264,5888,752,p256_ecdsa_verify,4832,800
