# riscv32-linux-gcc.br_real (Buildroot 2021.11-18033-g83947c7bb6) 14.3.0; -march=rv32imac -mabi=ilp32 -Os; qemu-riscv32 user mode; native_insns adds -DCH_NATIVE_WIDEMUL
op,insns,native_insns,stack_high_water_bytes
sha256_1kib,89702,89702,560
hkdf_expand_label_32b,28519,28519,1024
aead_seal_1kib,107061,64413,416
x25519_scalarmult,51417134,21665196,1700
p256_ecdsa_verify,42627238,42627238,1512
rsa_pss_verify_3072,13224140,13224140,3800
mlkem_keygen,3585326,3585326,6584
mlkem_decaps,4073021,4026295,11624
handshake_crypto,116969134,57465010,4840
handshake_crypto_pq,128346407,68795557,14776
