# bench/primitives.sh on Apple M1 Pro (arm64), Darwin 25.6.0, 2026-09-24, tree 0ae2dbe
# Apple clang version 21.0.0 (clang-2100.3.34.2); -std=c11 -O2 -Wall -Wextra -Wpedantic -Werror -Wvla -D_DEFAULT_SOURCE -DCH_RAND_DRBG -I. -Ibench -Itest
# primitives adds -DCH_RSA_MODULUS_MAX=512; handshake adds -DCH_ROLE_SERVER -DCH_ROLE_BOTH -DCH_TRANSPORT_TCP_NONBLOCKING -DBENCH_HANDSHAKE_PROGRAM, and -DCH_PIN_ECDSA for the ecdsa rows
# the X25519=wide rows add -DCH_X25519_WIDE -DCH_NATIVE_MUL128 and x25519_wide.c
# load average (1, 5, 15 min) before: 24.25 21.83 19.36; after: 12.19 17.51 17.96
# primitives: default run 1 of 3: 1-minute load average 24.25 at its start
# primitives: default run 2 of 3: 1-minute load average 20.20 at its start
# primitives: default run 3 of 3: 1-minute load average 17.38 at its start
# primitives_native: CH_NATIVE_WIDEMUL run 1 of 3: 1-minute load average 13.80 at its start
# primitives_native: CH_NATIVE_WIDEMUL run 2 of 3: 1-minute load average 13.64 at its start
# primitives_native: CH_NATIVE_WIDEMUL run 3 of 3: 1-minute load average 13.07 at its start
# primitives_x25519_wide: X25519=wide run 1 of 3: 1-minute load average 12.59 at its start
# primitives_x25519_wide: X25519=wide run 2 of 3: 1-minute load average 12.59 at its start
# primitives_x25519_wide: X25519=wide run 3 of 3: 1-minute load average 12.06 at its start
# handshake_rsa: default run 1 of 3: 1-minute load average 12.06 at its start
# handshake_rsa: default run 2 of 3: 1-minute load average 12.06 at its start
# handshake_rsa: default run 3 of 3: 1-minute load average 11.81 at its start
# handshake_rsa_native: CH_NATIVE_WIDEMUL run 1 of 3: 1-minute load average 11.67 at its start
# handshake_rsa_native: CH_NATIVE_WIDEMUL run 2 of 3: 1-minute load average 11.21 at its start
# handshake_rsa_native: CH_NATIVE_WIDEMUL run 3 of 3: 1-minute load average 10.96 at its start
# handshake_rsa_x25519_wide: X25519=wide run 1 of 3: 1-minute load average 10.96 at its start
# handshake_rsa_x25519_wide: X25519=wide run 2 of 3: 1-minute load average 10.80 at its start
# handshake_rsa_x25519_wide: X25519=wide run 3 of 3: 1-minute load average 10.49 at its start
# handshake_ecdsa: default run 1 of 3: 1-minute load average 10.29 at its start
# handshake_ecdsa: default run 2 of 3: 1-minute load average 10.29 at its start
# handshake_ecdsa: default run 3 of 3: 1-minute load average 10.29 at its start
# handshake_ecdsa_native: CH_NATIVE_WIDEMUL run 1 of 3: 1-minute load average 10.29 at its start
# handshake_ecdsa_native: CH_NATIVE_WIDEMUL run 2 of 3: 1-minute load average 12.19 at its start
# handshake_ecdsa_native: CH_NATIVE_WIDEMUL run 3 of 3: 1-minute load average 12.19 at its start
# handshake_ecdsa_x25519_wide: X25519=wide run 1 of 3: 1-minute load average 12.19 at its start
# handshake_ecdsa_x25519_wide: X25519=wide run 2 of 3: 1-minute load average 12.19 at its start
# handshake_ecdsa_x25519_wide: X25519=wide run 3 of 3: 1-minute load average 12.19 at its start
# ns: nanoseconds per byte (unit byte) or per operation (unit op), the median over 3 runs of each run's median; per_second: 10^6 bytes, or operations, per second at that median; samples: the fewest one run took; iqr_pct: the largest 25th to 75th percentile spread inside one run, percent of its median; run_spread_pct: slowest run median minus fastest, percent of the median
primitive,build,unit,bytes,ns,per_second,samples,iqr_pct,run_spread_pct
sha256,default,byte,64,11.8575,84.3,101,7.9,2.1
sha256,default,byte,1024,5.2562,190.3,101,7.3,0.7
sha256,default,byte,16384,4.8261,207.2,101,3.6,0.6
sha384,default,byte,64,9.2262,108.4,101,5.3,1.2
sha384,default,byte,1024,3.7069,269.8,101,5.8,0.3
sha384,default,byte,16384,3.2248,310.1,101,4.5,0.8
sha512,default,byte,64,9.8071,102.0,101,6.6,1.1
sha512,default,byte,1024,3.7411,267.3,101,4.1,1.4
sha512,default,byte,16384,3.2262,310.0,101,4.0,0.6
sha3_256,default,byte,64,7.6051,131.5,101,8.3,0.8
sha3_256,default,byte,1024,4.1707,239.8,101,3.9,0.9
sha3_256,default,byte,16384,3.9320,254.3,101,4.0,0.9
shake128_squeeze,default,byte,64,5.4451,183.7,101,3.9,0.6
shake128_squeeze,default,byte,1024,2.3326,428.7,101,3.8,0.3
shake128_squeeze,default,byte,16384,2.0215,494.7,101,5.1,0.2
shake256_squeeze,default,byte,64,5.4399,183.8,101,6.8,0.3
shake256_squeeze,default,byte,1024,2.5726,388.7,101,8.0,0.3
shake256_squeeze,default,byte,16384,2.3728,421.4,101,4.7,0.6
hmac_sha256,default,byte,64,29.3239,34.1,101,10.3,4.9
hmac_sha256,default,byte,1024,6.3310,158.0,101,5.2,0.3
hmac_sha256,default,byte,16384,4.9187,203.3,101,8.1,1.1
hkdf_expand_label,default,op,32,1659.0981,602737.1,101,8.3,1.0
chacha20,default,byte,64,1.7090,585.1,101,4.4,0.1
chacha20,default,byte,1200,1.6023,624.1,101,7.3,1.6
chacha20,default,byte,16384,1.5751,634.9,101,5.1,1.1
drbg,default,byte,32,4.3958,227.5,101,6.3,0.7
drbg,default,byte,1024,1.8228,548.6,101,5.3,0.9
drbg,default,byte,16384,1.6880,592.4,101,8.5,0.7
poly1305,default,byte,64,2.6064,383.7,101,45.3,7.5
poly1305,default,byte,1200,2.0652,484.2,101,86.0,1.0
poly1305,default,byte,16384,2.0227,494.4,101,135.4,0.9
chacha20_poly1305_seal,default,byte,64,7.8049,128.1,101,29.0,4.1
chacha20_poly1305_seal,default,byte,1200,3.8220,261.6,101,5.4,0.6
chacha20_poly1305_seal,default,byte,16384,3.6181,276.4,101,10.9,1.1
chacha20_poly1305_open,default,byte,64,7.5512,132.4,101,4.6,1.5
chacha20_poly1305_open,default,byte,1200,3.8330,260.9,101,7.6,0.9
chacha20_poly1305_open,default,byte,16384,3.5948,278.2,101,4.5,1.1
p256_ecdsa_verify,default,op,0,1324937.5000,754.8,101,27.0,2.4
p384_ecdsa_verify,default,op,0,4275375.0000,233.9,101,10.5,3.8
rsa_pss_verify_2048,default,op,0,274849.0000,3638.4,101,5.9,1.9
rsa_pss_verify_3072,default,op,0,656093.7500,1524.2,101,10.8,1.2
rsa_pss_verify_4096,default,op,0,1223479.0000,817.3,101,11.5,1.1
rsa_pkcs1_verify_2048,default,op,0,272562.5000,3668.9,101,10.8,2.3
rsa_pkcs1_verify_3072,default,op,0,651677.2500,1534.5,101,8.9,1.2
rsa_pkcs1_verify_4096,default,op,0,1203562.5000,830.9,101,4.1,0.2
x25519,default,op,0,953323.0000,1049.0,101,11.4,3.3
x25519_base,default,op,0,944145.5000,1059.2,101,13.2,4.8
mlkem768_keygen,default,op,0,29452.4766,33953.0,101,10.5,5.2
mlkem768_encaps,default,op,0,33246.0938,30078.7,101,17.5,2.6
