# bench/primitives.sh on AMD EPYC 9V74 80-Core Processor (x86_64), Linux 6.17.0-1022-azure, 2026-09-24, tree 4e02293
# gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0; -std=c11 -O2 -Wall -Wextra -Wpedantic -Werror -Wvla -D_DEFAULT_SOURCE -DCH_RAND_DRBG -I. -Ibench -Itest
# primitives adds -DCH_RSA_MODULUS_MAX=512; handshake adds -DCH_ROLE_SERVER -DCH_ROLE_BOTH -DCH_TRANSPORT_RECORD -DBENCH_HANDSHAKE_PROGRAM, and -DCH_PIN_ECDSA for the ecdsa rows
# the X25519=wide rows add -DCH_X25519_WIDE -DCH_NATIVE_MUL128 and x25519_wide.c
# the _hybrid handshake rows add -DCH_KEX_PQ: the client offers X25519MLKEM768 alone
# load average (1, 5, 15 min) before: 0.81 0.27 0.10; after: 0.99 0.58 0.25
# primitives: default run 1 of 3: 1-minute load average 0.81 at its start
# primitives: default run 2 of 3: 1-minute load average 0.88 at its start
# primitives: default run 3 of 3: 1-minute load average 0.91 at its start
# primitives_native: CH_NATIVE_WIDEMUL run 1 of 3: 1-minute load average 0.94 at its start
# primitives_native: CH_NATIVE_WIDEMUL run 2 of 3: 1-minute load average 0.95 at its start
# primitives_native: CH_NATIVE_WIDEMUL run 3 of 3: 1-minute load average 0.96 at its start
# primitives_x25519_wide: X25519=wide run 1 of 3: 1-minute load average 0.96 at its start
# primitives_x25519_wide: X25519=wide run 2 of 3: 1-minute load average 0.96 at its start
# primitives_x25519_wide: X25519=wide run 3 of 3: 1-minute load average 0.96 at its start
# handshake_rsa: default run 1 of 3: 1-minute load average 0.96 at its start
# handshake_rsa: default run 2 of 3: 1-minute load average 0.97 at its start
# handshake_rsa: default run 3 of 3: 1-minute load average 0.97 at its start
# handshake_rsa_native: CH_NATIVE_WIDEMUL run 1 of 3: 1-minute load average 0.97 at its start
# handshake_rsa_native: CH_NATIVE_WIDEMUL run 2 of 3: 1-minute load average 0.98 at its start
# handshake_rsa_native: CH_NATIVE_WIDEMUL run 3 of 3: 1-minute load average 0.98 at its start
# handshake_rsa_x25519_wide: X25519=wide run 1 of 3: 1-minute load average 0.98 at its start
# handshake_rsa_x25519_wide: X25519=wide run 2 of 3: 1-minute load average 0.98 at its start
# handshake_rsa_x25519_wide: X25519=wide run 3 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa: default run 1 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa: default run 2 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa: default run 3 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa_native: CH_NATIVE_WIDEMUL run 1 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa_native: CH_NATIVE_WIDEMUL run 2 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa_native: CH_NATIVE_WIDEMUL run 3 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa_x25519_wide: X25519=wide run 1 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa_x25519_wide: X25519=wide run 2 of 3: 1-minute load average 0.98 at its start
# handshake_ecdsa_x25519_wide: X25519=wide run 3 of 3: 1-minute load average 0.99 at its start
# handshake_rsa_hybrid: default run 1 of 3: 1-minute load average 0.99 at its start
# handshake_rsa_hybrid: default run 2 of 3: 1-minute load average 0.99 at its start
# handshake_rsa_hybrid: default run 3 of 3: 1-minute load average 0.99 at its start
# handshake_ecdsa_hybrid: default run 1 of 3: 1-minute load average 0.99 at its start
# handshake_ecdsa_hybrid: default run 2 of 3: 1-minute load average 0.99 at its start
# handshake_ecdsa_hybrid: default run 3 of 3: 1-minute load average 0.99 at its start
# ns: nanoseconds per byte (unit byte) or per operation (unit op), the median over 3 runs of each run's median; per_second: 10^6 bytes, or operations, per second at that median; samples: the fewest one run took; iqr_pct: the largest 25th to 75th percentile spread inside one run, percent of its median; run_spread_pct: slowest run median minus fastest, percent of the median
primitive,build,unit,bytes,ns,per_second,samples,iqr_pct,run_spread_pct
sha256,default,byte,64,12.3437,81.0,101,0.5,1.9
sha256,default,byte,1024,4.5467,219.9,101,0.4,0.5
sha256,default,byte,16384,4.0414,247.4,101,0.4,0.1
sha384,default,byte,64,8.7607,114.1,101,0.4,0.0
sha384,default,byte,1024,3.6718,272.3,101,0.4,0.0
sha384,default,byte,16384,3.1533,317.1,101,0.4,0.0
sha512,default,byte,64,9.6564,103.6,101,0.8,0.0
sha512,default,byte,1024,3.7279,268.2,101,0.4,0.0
sha512,default,byte,16384,3.1563,316.8,101,0.4,0.0
sha3_256,default,byte,64,43.6522,22.9,101,0.5,0.0
sha3_256,default,byte,1024,21.2543,47.0,101,0.6,0.1
sha3_256,default,byte,16384,20.0010,50.0,101,0.6,0.1
shake128_squeeze,default,byte,64,42.0799,23.8,101,0.5,0.1
shake128_squeeze,default,byte,1024,18.4610,54.2,101,0.5,0.1
shake128_squeeze,default,byte,16384,16.1820,61.8,101,0.4,0.0
shake256_squeeze,default,byte,64,42.0677,23.8,101,0.6,0.1
shake256_squeeze,default,byte,1024,20.9995,47.6,101,0.4,0.1
shake256_squeeze,default,byte,16384,19.8297,50.4,101,0.5,0.1
hmac_sha256,default,byte,64,26.7993,37.3,101,0.7,0.2
hmac_sha256,default,byte,1024,5.4295,184.2,101,0.4,0.3
hmac_sha256,default,byte,16384,4.0824,245.0,101,0.4,0.0
hkdf_expand_label,default,op,32,1373.9175,727845.8,101,0.5,0.0
chacha20,default,byte,64,2.7341,365.8,101,0.8,0.0
chacha20,default,byte,1200,2.6165,382.2,101,0.8,0.2
chacha20,default,byte,16384,2.5850,386.8,101,0.5,0.1
drbg,default,byte,32,5.2707,189.7,101,0.6,0.1
drbg,default,byte,1024,2.4873,402.0,101,0.8,0.0
drbg,default,byte,16384,2.3206,430.9,101,0.7,0.1
poly1305,default,byte,64,5.1730,193.3,101,0.4,0.1
poly1305,default,byte,1200,3.9788,251.3,101,0.5,0.1
poly1305,default,byte,16384,3.9134,255.5,101,1.1,0.1
chacha20_poly1305_seal,default,byte,64,12.9719,77.1,101,0.5,0.1
chacha20_poly1305_seal,default,byte,1200,6.8728,145.5,101,0.7,0.1
chacha20_poly1305_seal,default,byte,16384,6.5209,153.4,101,0.4,0.0
chacha20_poly1305_open,default,byte,64,12.5359,79.8,101,0.4,0.1
chacha20_poly1305_open,default,byte,1200,6.8392,146.2,101,0.5,0.1
chacha20_poly1305_open,default,byte,16384,6.5182,153.4,101,0.4,0.0
p256_ecdsa_verify,default,op,0,2330364.0000,429.1,101,0.5,0.1
p384_ecdsa_verify,default,op,0,6745408.0000,148.2,101,0.3,0.1
rsa_pss_verify_2048,default,op,0,371144.1250,2694.4,101,0.3,0.1
rsa_pss_verify_3072,default,op,0,830862.7500,1203.6,101,0.4,0.1
rsa_pss_verify_4096,default,op,0,1477201.0000,677.0,101,0.7,0.1
rsa_pkcs1_verify_2048,default,op,0,368089.7500,2716.7,101,0.5,0.2
rsa_pkcs1_verify_3072,default,op,0,827447.5000,1208.5,101,0.5,0.0
rsa_pkcs1_verify_4096,default,op,0,1471322.5000,679.7,101,0.3,0.1
x25519,default,op,0,2160342.0000,462.9,101,0.7,0.2
x25519_base,default,op,0,2122716.0000,471.1,101,1.0,0.1
mlkem768_keygen,default,op,0,152899.7500,6540.2,101,0.5,0.1
mlkem768_encaps,default,op,0,166132.6250,6019.3,101,0.4,0.0
mlkem768_decaps,default,op,0,182815.5000,5470.0,101,0.2,0.0
p256_ecdh_keygen,default,op,0,3264563.0000,306.3,101,0.5,0.1
p256_ecdh,default,op,0,3261889.0000,306.6,101,0.5,0.0
p256_sign,default,op,0,3470079.0000,288.2,101,0.5,0.1
rsa_pss_sign_2048,default,op,0,97299019.0000,10.3,11,0.3,0.1
rsa_pss_sign_3072,default,op,0,325222027.0000,3.1,11,0.2,0.1
poly1305,CH_NATIVE_WIDEMUL,byte,64,1.8587,538.0,101,0.7,0.1
